Name,Geburtsdatum,Geburtsort,Sterbedatum,Quelle,Sterbeort,Biografie,GND,Bild,,Biolex-Link
"ALARDUS, Franciscus (1556 Franschoys Alaers, 1567 François Alardt)",,,10.9.1578,2;1971,Wilster,"ALARDUS, Franciscus (1556 Franschoys Alaers, 1567 François Alardt), geb. etwa 1522/25 Brüssel, gest. 10.9.1578 Wilster, Holstein, Dominikaner in Antwerpen, später lutherischer Prediger, zuletzt Pastor in Wilster.",116257679,,,
"ALARDUS, Lambert (I)",27.1.1602,Krempe,29.5.1672,2;1971,Brunsbüttel,"ALARDUS, Lambert (I), geb. 27.1.1602 Krempe, gest. 29.5.1672 Brunsbüttel; ev. – Theologe, Pastor.",128684496,,,
"ALARDUS, Lambert (II)",18.5.1671,Brunsbüttel,,2;1971,,"ALARDUS, Lambert (II), geb. 18.5.1671 Brunsbüttel, gest. nach 1735 Hamburg; ev. – Pastor.",128938277,,,
"ALARDUS, Wilhelm",22.11.1572,Wilster,8.5.1645,2;1971,Krempe,"ALARDUS, Wilhelm, geb. 22.11.1572 Wilster, gest. 8.5.1645 Krempe; ev. – Theologe, Pastor, Senior d. Münsterdorfischen Konsistoriums.",116009950,,,
"ALBERTI, Eduard Christian Scharlau",11.3.1827,Friedrichstadt,28.2.1898,2;1971,Voorde b. Kiel,"ALBERTI, Eduard Christian Scharlau, geb. 11.3.1827 Friedrichstadt, gest. 28.2.1898 Voorde b. Kiel; ev. – Philologe, Bibliothekar, Schriftsteller.",116276533,,,
"ALBERTI, Johann Friedrich",11.1.1642,Tönning,14.6.1710,2;1971,Merseburg,"ALBERTI, Johann Friedrich, geb. 11.1.1642 Tönning, gest. 14.6.1710 Merseburg; ev. – Organist, Komponist.",102509654,,,
"ALBERTI, Leopold David Scharlau",30.11.1816,Rendsburg,4.4.1892,2;1971,Süllfeld b. Oldesloe,"ALBERTI, Leopold David Scharlau, geb. 30.11.1816 Rendsburg, gest. 4.4.1892 Süllfeld b. Oldesloe; ev. – Redakteur, Schriftsteller, Prediger.",116278935,,,
"ALBIEN, Walter Georg Richard",14.11.1879,Eydtkuhnen (Eydtkau),12.12.1964,2;1971,Schönberg,"ALBIEN, Walter Georg Richard, geb. 14.11.1879 Eydtkuhnen (Eydtkau), Ostpreußen, gest. 12.12.1964 Schönberg, Holstein; ev.-luth. – Dr. med. vet., praktischer Tierarzt.",1018773444,,,
"ALBINUS, Christian Friedrich Ludwig",10.6.1771,Bevensen,5.7.1837,10;1994,Lauenburg,"ALBINUS, Christian Friedrich Ludwig, geb. 10.6.1771 Bevensen, gest. 5.7.1837 Lauenburg; ev. – Zollbeamter, Philanthrop.",,,,
"ALBINUS, Daniel",1627,"Satrup, Angeln",,2;1971,,"ALBINUS, Daniel, geb. 1627 Satrup, Angeln, gest. 27.2.(?)1691 ebd.; ev. – Pastor.",116279338,,,
"ALBRECHT, Laurentz",,,,10;1994,,"ALBRECHT, Laurentz, begr. 5.10.1605 Lübeck; ev. – Buchhändler, Verleger, Buchdrucker.",1037532910,,,
"ALDENHOVEN, Karl Johann Friedrich",25.11.1842,Rendsburg,24.9.1907,1;1970,Köln,"ALDENHOVEN, Karl Johann Friedrich, geb. 25.11.1842 Rendsburg, gest. 24.9.1907 Köln. Kunsthistoriker, Museumsdirektor.",116284404,,,
"ALDENRATH, Heinrich Jacob",17.2.1775,Lübeck,25.2.1844,8;1987,Hamburg,"ALDENRATH, Heinrich Jacob, geb. 17.2.1775 Lübeck, gest. 25.2.1844 Hamburg; ev. – Maler, Miniaturist, Lithograph.",116284412,,,
"ALEXANDER, Herzog von Schleswig-Holstein-Sonderburg",20.1.1573,Sonderburg,13.5.1627,8;1987,ebd.,"ALEXANDER, Herzog von Schleswig-Holstein-Sonderburg, geb. 20.1.1573 Sonderburg, gest. 13.5.1627 ebd., begr. ebd. (Schloßkapelle); ev.",136183921,,,
"ALEXANDERSEN, Johann",22.3.1861,Gammelgab,,2;1971,,"ALEXANDERSEN, Johann, geb. 22.3.1861 Gammelgab, Ksp. Broacker, gest. 8.1.1936 Sonderburg; ev. – Justizrat, Bürgerworthalter i. Sonderburg.",,,,
"ALLHUSEN, Carl Georg (nicht: Gustav)",1.7.1798,Kiel,11.1.1866,12;2006,ebd.,"ALLHUSEN, Carl Georg (nicht: Gustav), geb. 1.7.1798 Kiel, gest. 11.1.1866 ebd.; ev. – Kaufmann, Sozialist, Publizist.",119263300,,,
"ALSEN, Otto Friedrich",23.5.1805,Altona,15.1.1872,1;1970,Itzehoe,"ALSEN, Otto Friedrich, geb. 23.5.1805 Altona, gest. 15.1.1872 Itzehoe; ev. – Jurist. Landwirt. Gründer der heutigen Alsen’schen Portland-Cement-Fabriken K.G. in Hamburg-Itzehoe. Alsens Vorfahren waren Hufner in Angeln, der Großvater Lehrer, der Vater Jurist und Kaufmann in Hamburg.",,,,
"AMBROSIUS, Heinrich Friedrich Carl",30.6.1879,Lübeck,2.2.1968,13;2011,ebd.,"AMBROSIUS, Heinrich Friedrich Carl, geb. 30.6.1879 Lübeck, gest. 2.2.1968 ebd.; ev. – Kaufmann, Senator.",,,,
AMFAST,,,,2;1971,,AMFAST – 1259. Abt in Rude.,,,,
"AMKIEL, Trogillus (Troels)",28.4.1638,Toldsted,13.9.1712,2;1971,Apenrade,"AMKIEL, Trogillus (Troels), geb. 28.4.1638 Toldsted, Ksp. Jord-Kjaer b. Apenrade, gest. 13.9.1712 Apenrade; ev. – Theologe, Historiker.",,,,
"AMSINCK, Arnold",1579,Hamburg,31.1.1656,2;1971,Hamburger Hallig,"AMSINCK, Arnold, geb. 1579 Hamburg, gest. 31.1.1656 Hamburger Hallig; ev. – Kaufmann, Deichbauunternehmer.",123690412,,,
"AMTHOR, Christoph Heinrich",14.12.1677,Stolberg am Harz,21.2.1721,2;1971,Kopenhagen,"AMTHOR, Christoph Heinrich, geb. 14.12.1677 Stolberg am Harz, gest. 21.2.1721 Kopenhagen; ev. – Rechtsgelehrter, kgl. dänischer Historiograph.",129718025,,,
"AMTHOR, Ehrenfried",21.1.1638,Gera,23.5.1696,2;1971,Rendsburg,"AMTHOR, Ehrenfried, geb. 21.1.1638 Gera, gest. 23.5.1696 Rendsburg, begr. Krempe; ev. – Höherer Verwaltungsbeamter im dänischen Heer.",131488201,,,
"VON ANCKEN, Wichboldt",,,,1;1970,,"VON ANCKEN, Wichboldt, geb. Krempe ca. 1574, gest. Glückstadt vor 23.7.1629, begr. in der Stadtkirche ebd. Vermutlich reicher Kornkaufmann in Krempe, dann erster Bürgermeister der neu gegründeten Festung Glückstadt.",,,,
"ANDERSEN, Andreas",19.1.1799,Leck,31.1.1879,1;1970,Keitum auf Sylt,"ANDERSEN, Andreas, geb. 19.1.1799 Leck, Südtondern, gest. 31.1.1879 Keitum auf Sylt; ev. – Merkantilschiffskapitän, Kommunalpolitiker.",,,,
"ANDERSEN, Friedrich",15.7.1860,Genf,5.4.1940,1;1970,Glücksburg,"ANDERSEN, Friedrich, geb. 15.7.1860 Genf, gest. 5.4.1940 Glücksburg, begr. Flensburg, Friedhof an d. Mühlenstraße; ev. – Pastor, Schriftsteller, Kommunalpolitiker.",123286026,,,
"ANDERSEN, Jürgen",,,1679,10;1994,Kropp b,"ANDERSEN, Jürgen, geb. um 1620 Tondern, gest. 1679 Kropp b. Schleswig; ev. – Hardesvogt, Verfasser einer Reisebeschreibung.",124816010,,,
