Name,Geburtsdatum,Geburtsort,Sterbedatum,Quelle,Sterbeort,Biografie,GND,Bild,,Biolex-Link
"SCHLESWIG-HOLSTEIN-SONDERBURG-PLÖN, Herzöge von.",,,,8;1987,,"SCHLESWIG-HOLSTEIN-SONDERBURG-PLÖN, Herzöge von. Das Haus Plön ist eine in der zweiten Generation entstandene Nebenlinie des Hauses Schleswig-Holstein-Sonderburg. Aufgrund der von Herzog Hans dem Jüngeren (1545–1622) testamentarisch verfügten Erbteilung entstand aus seinen sämtlichen holsteinischen Besitzungen ein Herzogtum Schleswig-Holstein- Sonderburg-Plön, das an seinen jüngsten noch lebenden Sohn Joachim Ernst (1595–1671) fiel. Es umfaßte Stadt und Amt Plön, die Ämter Ahrensbök und Reinfeld sowie die Güter Gnissau, Gronenberg, Rethwisch und Wulfsfelde. Joachim Ernst schlug Gronenberg zum Amt Ahrensbök, Wulfsfelde und Gnissau zum Amt Reinfeld und erweiterte das Amt Plön noch durch den Erwerb der Güter Kleveez (1637), Pehmen (1638) und Stocksee (1649). Nach dem Tod seines ältesten Bruders Christian (1570–1633) kam dann noch das Gut Seebygaard (Søbygård) auf der Insel Ærø hinzu. Joachim Ernst war wie sein Vater zunächst bestrebt, seine Interessen gegen den König und gegen den Gottorfer Herzog durchzusetzen und als regierender Landesherr neben ihnen anerkannt zu werden. Ein Teil dieser Bestrebungen war der Prozeß, den er gegen sie beim Reichshofrat in Wien wegen des Erbes der Grafschaften Oldenburg und Delmenhorst einleitete. Erfolg hatte er damit jedoch erst, als er und sein Sohn Johann Adolf (1634–1704) sich auf Kosten des Gottorfer Herzogs mit dem König verständigten. Dieser Oldenburger Sukzessionsvergleich von 1671 brachte der Plöner Linie die 1676 vollzogene Belehnung mit dem 1669 eingezogenen Herzogtum Norburg sowie eine Reihe von Dörfern im Amt Segeberg ein, aus denen Herzog Johann Adolf das Amt Traventhal bildete.",,,,
"SCHLICHTING, Johann Theodorus",,,,9;1991,,"SCHLICHTING, Johann Theodorus, geb. um 1680, gest. kurz vor dem 26.4.1746 Neumühlen b. Eutin; ev. – Bildhauer.",1051409357,,,
"SCHLICHTING, Marcus",7.11.1804,Stiesholz,6.3.1875,12;2006,Kiel,"SCHLICHTING, Marcus, geb. 7.11.1804 Stiesholz, Ksp. Satrup (Angeln), gest. 6.3.1875 Kiel; ev. – Lehrer, Parlamentarier.",142349429,,,
"SCHLIPPE, Bernhard Carl Joseph Konrad",4.2.1922,Darmstadt,30.4.1998,12;2006,Lübeck,"SCHLIPPE, Bernhard Carl Joseph Konrad, geb. 4.2.1922 Darmstadt, gest. 30.4.1998 Lübeck; kath. – Architekt, Denkmalpfleger.",121418677,,,
SCHLÖZER-FAMILIE,,,,10;1994,,"SCHLÖZER-FAMILIE. Die Familie geht zurück auf den Göttinger Historiker und Publizisten August Ludwig Schlözer (1735–1809, s. ADB, 31, S. 567), der einer schwäbischen Pastorenfamilie entstammte. Für seine Verdienste um die Erforschung der russischen Geschichte wurde ihm 1804 der russische Erbadel verliehen, und seitdem nannten er und seine Nachkommen sich „von Sch.“. Engere Beziehungen der Familie zu Lübeck begannen 1792, als Dorothea (1770–1825), die älteste Tochter August Ludwig Sch.s, den Lübecker Kaufmann und Senator Matthäus Rodde (1754–1825) heiratete. Nach dem Konkurs ihres Mannes im September 1810 kehrte Dorothea Rodde-Sch. in ihre Heimatstadt Göttingen zurück, während ihr jüngerer Bruder Karl (1780– 1859), der ihr 1797 nach Lübeck gefolgt war, um eine kaufmännische Laufbahn anzutreten, in der Hansestadt blieb und dort russischer Generalkonsul wurde. Karl v. Sch. heiratete Friederike Platzmann aus einer der reichsten Lübecker Kaufmannsfamilien der Zeit. Er hatte mit ihr zwei Söhne und zwei Töchter.",,,,
"SCHLÖZER, Karl von",28.12.1780,Göttingen,13.2.1859,10;1994,Lübeck,"SCHLÖZER, Karl von, geb. 28.12.1780 Göttingen, gest. 13.2.1859 Lübeck; ev. – Kaufmann, Russischer Generalkonsul in Lübeck.",119558823,,,
"SCHLÖZER, Conrad (Kurd) Nestor von",5.1.1822,Lübeck,13.5.1894,10;1994,Berlin,"SCHLÖZER, Conrad (Kurd) Nestor von, geb. 5.1.1822 Lübeck, gest. 13.5.1894 Berlin; ev. – Historiker, Diplomat.",118795147,,,
"SCHLÖZER, August Ludwig Nestor von",18.7.1808,Lübeck,18.2.1899,10;1994,Dresden,"SCHLÖZER, August Ludwig Nestor von, geb. 18.7.1808 Lübeck, gest. 18.2.1899 Dresden; ev. – Russischer Konsul in Stettin, Gutsbesitzer.",117329797,,,
"SCHLOTHFELDT, Hans Friedrich",26.2.1890,Fockbek b. Rendsburg,,8;1987,,"SCHLOTHFELDT, Hans Friedrich, geb. 26.2.1890 Fockbek b. Rendsburg, gest. 8.7.1966 Rendsburg; ev. – Ingenieur, Heimatforscher.",1155063007,,,
"SCHLOTT, Nathanael",13.2.1666,Danzig,23.3.1703,9;1991,Lübeck,"SCHLOTT, Nathanael, geb. 13.2.1666 Danzig, gest. 23.3.1703 Lübeck; ev. – Lehrer, Dichter.",115647430,,,
"SCHMETTAU (auch Schmettow), Woldemar Hermann Graf (seit 1742) von",26.5.1719,Berlin,24.10.1785,3;1974,Plön,"SCHMETTAU (auch Schmettow), Woldemar Hermann Graf (seit 1742) von, geb. 26.5.1719 Berlin, gest. 24.10.1785 Plön; ev. – Offizier, Gutsbesitzer auf Holdorf bei Gadebusch (verkauft 1747), Schriftsteller.",117457035,,,
"SCHMETTOW, Woldemar Friedrich Graf von",25.2.1749,Celle,7.7.1794,3;1974,Plön,"SCHMETTOW, Woldemar Friedrich Graf von, geb. 25.2.1749 Celle, gest. 7.7.1794 Plön; ev. – Diplomat, Schriftsteller.",117457132,,,
"SCHMIDT, Friedrich Christian",12.7.1776,Steinbergkirche (Angeln),10.12.1862,1;1970,Kiel,"SCHMIDT, Friedrich Christian, geb. 12.7.1776 Steinbergkirche (Angeln), gest. 10.12.1862 Kiel; ev. – Richter.",1155063066,,,
"SCHMIDT, Georg Philipp (gen. von Lübeck)",1.1.1766,Lübeck,28.10.1849,7;1985,Altona,"SCHMIDT, Georg Philipp (gen. von Lübeck), geb. 1.1.1766 Lübeck, gest. 28.10.1849 Altona; ev. – Arzt, Finanzbeamter, Dichter, Historiker.",117506095,,,
"SCHMIDT, Johannes, Carl",9.6.1869,Tondern,,3;1974,,"SCHMIDT, Johannes, Carl, geb. 9.6.1869 Tondern, Nordschleswig, gest. 13.11.1959 Petersholm (pr. Törsbüll (Tørsbøl), Ksp. Quars (Kvaers), Nordschleswig); ev. – Pastor, hist.-politischer Autor, Politiker (bekannt als Schmidt-Wodder).",117511331,,,
"SCHMIDT, Johann Friedrich Julius",26.10.1825,Eutin,7.2.1884,4;1976,Athen,"SCHMIDT, Johann Friedrich Julius, geb. 26.10.1825 Eutin, gest. 7.2.1884 Athen; ev. – Astronom, Geophysiker, Geograph.",115825916,,,
"SCHMIDT, Justus",29.9.1851,Hobstin b. Neustadt,21.5.1930,1;1970,Hamburg,"SCHMIDT, Justus, geb. 29.9.1851 Hobstin b. Neustadt, Holstein, gest. 21.5.1930 Hamburg; ev. – Lehrer, Florist.",,,,
"SCHMIDT-HAMBURG, Franz Robert",5.4.1885,Berlin,15.4.1963,3;1974,Laboe,"SCHMIDT-HAMBURG, Franz Robert, geb. 5.4.1885 Berlin, gest. 15.4.1963 Laboe; ev. – Marinemaler.",118570536,,,
"SCHNACKENBURG, David Emil Bernhard",5.7.1867,Schwetz (Kr. Graudenz,27.1.1924,12;2006,Altona,"SCHNACKENBURG, David Emil Bernhard, geb. 5.7.1867 Schwetz (Kr. Graudenz, Westpreußen), gest. 27.1.1924 Altona; ev. – Jurist, Oberbürgermeister.",119140365,,,
"SCHNEIDER, Gustav Willibald Gerhard",22.4.1904,Frankfurt/Main,20.1.1988,13;2011,Lübeck,"SCHNEIDER, Gustav Willibald Gerhard, geb. 22.4.1904 Frankfurt/Main, gest. 20.1.1988 Lübeck; ev. – Verwaltungsbeamter, Senator.",1029300895,,,
"SCHÖNBERG, Curth Christian Heinrich",4.12.1877,Bockenheim b. Frankfurt/M.,,11;2000,,"SCHÖNBERG, Curth Christian Heinrich, geb. 4.12.1877 Bockenheim b. Frankfurt/M., gest. frühestens Januar 1935; ev. – Verwaltungsjurist, Landrat.",1075874599,,,
"SCHÖNBORN (SCHOENBORN), Gottlob Friedrich Ernst",15.9.1737,Stolberg,29.1.1817,1;1970,Emkendorf,"SCHÖNBORN (SCHOENBORN), Gottlob Friedrich Ernst, geb. 15.9.1737 Stolberg, Harz, gest. 29.1.1817 Emkendorf, Holstein; ev. – Diplomat, Dichter.",116863919,,,
"SCHÖNEFELD, Stephan von",,,11.3.1632,10;1994,,"SCHÖNEFELD, Stephan von, gest. 11.3.1632; ev. – Arzt, Ichthyologe.",128899573,,,
"SCHOPPE, Emerentia Catharina Amalia Sophia geb. Weise (Ps.: Adalbert von Schonen)",9.10.1791,Burg (Fehmarn),29.9.1858,10;1994,Schenectady (New York,"SCHOPPE, Emerentia Catharina Amalia Sophia geb. Weise (Ps.: Adalbert von Schonen), geb. 9.10.1791 Burg (Fehmarn), gest. 29.9.1858 Schenectady (New York, USA); ev. – Schriftstellerin.",11861049X,,,
"SCHORER, Cornelia Bernhardine Johanna",12.7.1863,Lübeck,9.1.1939,11;2000,Potsdam,"SCHORER, Cornelia Bernhardine Johanna, geb. 12.7.1863 Lübeck, gest. 9.1.1939 Potsdam; ev. – Ärztin.",115506397X,,,
"SCHRADER, Johann Gottlieb Friedrich",17.9.1763,Salzdahlum b. Wolfenbüttel,,6;1982,,"SCHRADER, Johann Gottlieb Friedrich, geb. 17.9.1763 Salzdahlum b. Wolfenbüttel, gest. 1832 oder 1833 in Rußland, wahrscheinlich St. Petersburg (Leningrad); – Physiker u. Astronom.",117024333,,,
"SCHRADER, Ludwig Albrecht Gottfried",9.8.1751,Wolfenbüttel-Salzdahlum,17.1.1815,6;1982,Kiel,"SCHRADER, Ludwig Albrecht Gottfried, geb. 9.8.1751 Wolfenbüttel-Salzdahlum, gest. 17.1.1815 Kiel; ev. – Jurist.",121309894,,,
"SCHRIEWER, Franz Wilhelm Heinrich",,,10.5.1966,8;1987,Flensburg,"SCHRIEWER, Franz Wilhelm Heinrich, geb. 1 1 . 5 . 1893 Rendsburg, gest. 10.5.1966 Flensburg, ev. – Bibliothekar, Leiter d. Grenzakademie Sankelmark.",117061093,,,
"SCHRÖDER, Carsten",1531,/32 Lunden/Dithmarschen,26.9.1615,5;1979,ebd.,"SCHRÖDER, Carsten, geb. 1531/32 Lunden/Dithmarschen, gest. 26.9.1615 ebd.; ev. – Bauer, Chronist.",1162633883,,,
"SCHRÖDER, Friedrich Julius Adolph",3.12.1872,Düben an der Mulde,18.6.1943,2;1971,Kiel,"SCHRÖDER, Friedrich Julius Adolph, geb. 3.12.1872 Düben an der Mulde, gest. 18.6.1943 Kiel, begr. Garnisonfriedhof Rendsburg; ev. – Pastor.",1047846624,,,
"SCHRÖDER, Hermann",27.1.1798,Lübeck,28.12.1856,13;2011,ebd.,"SCHRÖDER, Hermann, geb. 27.1.1798 Lübeck, gest. 28.12.1856 ebd.; ev. – Jurist, Kaufmann, Historiker.",1053277601,,,
"SCHRÖDER, Johannes von (dän. Offizier – persönlicher Adel)",14.5.1793,Praestø,8.1.1862,1;1970,Hamburg,"SCHRÖDER, Johannes von (dän. Offizier – persönlicher Adel), geb. 14.5.1793 Praestø, Seeland (nicht 13.5., lt. Kb. von Praestø von 1738 bis 1814 fol. 98a), gest. 8.1.1862 Hamburg; ev. – Oberst, Topograph, Schriftsteller.",10409494X,,,
"SCHUBRING, Johannes Julius",28.3.1839,Dessau,5.6.1914,13;2011,Lübeck,"SCHUBRING, Johannes Julius, geb. 28.3.1839 Dessau, gest. 5.6.1914 Lübeck; ev. – Altertumsforscher, Schulmann.",133675491,,,
"SCHÜCKING, Lothar Engelbert Levin",30.4.1873,Wollin,,7;1985,,"SCHÜCKING, Lothar Engelbert Levin, geb. 30.4.1873 Wollin, Pommern, gest. 2.2.1943 Sassenberg b. Warendorf, Westfalen; ev. – Jurist.",117124958,,,
"SCHÜCKING, Walther Max Adrian",6.1.1875,Münster/Westfalen,25.8.1935,7;1985,Den Haag,"SCHÜCKING, Walther Max Adrian, geb. 6.1.1875 Münster/Westfalen, gest. 25.8.1935 Den Haag, begr. Oberurff, Kr. Fritzlar; ev. – Professor für Staats- und Völkerrecht, Richter am Ständigen Internationalen Gerichtshof in Den Haag.",118762117,,,
"SCHULENBURG, Gebhard Werner von der (Ps.: Gebhard Werner)",9.12.1881,Pinneberg,28.3.1958,4;1976,(im Geneal. Hdb. d. Adels 6,"SCHULENBURG, Gebhard Werner von der (Ps.: Gebhard Werner), geb. 9.12.1881 Pinneberg, gest. 28.3.1958 (im Geneal. Hdb. d. Adels 6, 1962: Sterbedatum 1.4.1958, in Brockhaus Enzyklopädie 17, 1973: Sterbedatum 29.3.1958) Pura (Tessin), Schweiz; ev. – Diplomat, Schriftsteller.",11716044X,,,
"SCHULTZE (Schulz(e), Schulte), Hieronymus",1534,Hamburg,8.5.1591,10;1994,Husum,"SCHULTZE (Schulz(e), Schulte), Hieronymus, geb. 1534 Hamburg, gest. 8.5.1591 Husum; ev. – Jurist, Rat und Kanzler.",138346240,,,
"SCHULZ (Schultz), Johann Abraham Peter",31.3.1747,Lüneburg,,4;1976,,"SCHULZ (Schultz), Johann Abraham Peter, geb. 31.3.1747 Lüneburg, gest. 10.6.1800 Schwedt/Oder; ev. – Kapellmeister, Komponist.",118762494,,,
"SCHULZE-BOYSEN, Heinz Harro",2.9.1909,Kiel,,11;2000,,"SCHULZE-BOYSEN, Heinz Harro, geb. 2.9.1909 Kiel, gest. (hingerichtet) 22.12.1942 Berlin- Plötzensee; ev. – Journalist, Offizier, Widerstandskämpfer.",118935437,,,
"SCHUMACHER, Georg Friedrich",19.12.1771,Altona,2.4.1852,9;1991,Schleswig,"SCHUMACHER, Georg Friedrich, geb. 19.12.1771 Altona, gest. 2.4.1852 Schleswig; ev. – Schulmann.",123908078,,,
"SCHUMACHER, Heinrich Christian Friedrich",15.11.1757,Glückstadt,9.12.1830,2;1971,Kopenhagen,"SCHUMACHER, Heinrich Christian Friedrich, geb. 15.11.1757 Glückstadt, Krs Steinburg, gest. 9.12.1830 Kopenhagen; ev. – Arzt, Anatom, Botaniker.",117284548,,,
"SCHUMACHER, Heinrich Christian",3.9.1780,Bramstedt,28.12.1850,3;1974,Altona,"SCHUMACHER, Heinrich Christian, geb. 3.9.1780 Bramstedt, gest. 28.12.1850 Altona; ev. – Geodät, Astronom.",118611593,,,
"SCHUMANN, Franz Colmar",28.4.1844,Magdeburg,16.11.1912,8;1987,Lübeck,"SCHUMANN, Franz Colmar, geb. 28.4.1844 Magdeburg, gest. 16.11.1912 Lübeck; ev. – Lehrer, Germanist.",1026387655,,,
"SCHUNCK, Hans Heinrich",17.7.1816,Lübeck,15.10.1896,13;2011,ebd.,"SCHUNCK, Hans Heinrich, geb. 17.7.1816 Lübeck, gest. 15.10.1896 ebd.; ev. – Kaufmann, Literat.",115506500X,,,
"SCHUR, Adolph Christian Wilhelm",15.4.1846,Altona,1.7.1901,7;1985,Göttingen,"SCHUR, Adolph Christian Wilhelm, geb. 15.4.1846 Altona, gest. 1.7.1901 Göttingen; ev. – Astronom.",117311170,,,
"SCHWARTZ, Adelheit Sibylla geb. Röther",1656,oder später,,11;2000,,"SCHWARTZ, Adelheit Sibylla geb. Röther, geb. 1656 oder später, wahrscheinlich in Zellerfeld, begr. 29.3.1703 Berlin-Friedrichswerder; ev. – Pietistin.",115369864,,,
"SCHWARTZ, Johann Heinrich",1653,"/54, wahrscheinlich in Schlesien",,11;2000,,"SCHWARTZ, Johann Heinrich, geb. 1653/54, wahrscheinlich in Schlesien, gest. Ende 1707 oder 1708 vermutlich Berlin; ev. – Maler.",132620847,,,
"SCHWARTZ, Johann Carl Theodor",14.4.1841,Lübeck,9.4.1922,6;1982,ebd.,"SCHWARTZ, Johann Carl Theodor, geb. 14.4.1841 Lübeck, gest. 9.4.1922 ebd.; ev. – Gewerkschafter, Reichstagsabgeordneter.",133217701,,,
"SCHWARZ, Wolfgang Rüdiger Sebald",2.1.1914,Lübeck,3.6.1978,7;1985,Lockstedt,"SCHWARZ, Wolfgang Rüdiger Sebald, geb. 2.1.1914 Lübeck, gest. 3.6.1978 Lockstedt, Kr. Steinburg; ev. – Landesforstmeister.",131457276,,,
"SCHWARZ, Georg Sebald Christoph",12.8.1866,Rotterdam,15.2.1934,7;1985,Aschersleben,"SCHWARZ, Georg Sebald Christoph, geb. 12.8.1866 Rotterdam, gest. 15.2.1934 Aschersleben; ev. – Pädagoge, zuletzt Landesschulrat in Lübeck.",117367885,,,
"SCHWARZKOPF, Georg Heinrich",3.7.1735,Barterode b. Göttingen,,11;2000,,"SCHWARZKOPF, Georg Heinrich, geb. 3.7.1735 Barterode b. Göttingen, gest. 6.3.1795 Ratzeburg; ev. – Amtmann.",1035136252,,,
SCHWEFFEL,,,,,,"SCHWEFFEL, – Kaufmannsfamilie in Kiel im 18. und 19. Jh.",,,,
"SCHWEFFEL, Johann I.",,,6.4.1792,,Kiel,"1.) SCHWEFFEL, Johann I., get. 24.8.1720 Meldorf, gest. 6.4.1792 Kiel; ev. – Kaufmann.",1155065255,,,
"SCHWEFFEL, Johann Hinrich II.",,,5.9.1808,,ebd,"2.) SCHWEFFEL, Johann Hinrich II., get. 27.6.1751 Kiel, gest. 5.9.1808 ebd.",1155065433,,,
"SCHWEFFEL, Johann HL",28.7.1796,Kiel,14.4.1865,,ebd,"3.) SCHWEFFEL, Johann HL, geb. 28.7.1796 Kiel, gest. 14.4.1865 ebd.",137648650,,,
"SCHWEFFEL, Johann IV.",12.5.1825,Kiel,23.8.1910,1;1970,ebd,"4.) SCHWEFFEL, Johann IV., geb. 12.5.1825 Kiel, gest. 23.8.1910 ebd.",115506576X,,,
"SCHWIEGER, Jacob",,,,4;1976,,"SCHWIEGER, Jacob, geb. um 1630 Altona, gest. vor dem 28.1.1664 Glückstadt ; ev. – Schriftsteller, Münzmeister.",118795791,,,
"SEE, Heinrich von",,,,2;1971,,"SEE, Heinrich von, erstmals 1389, zuletzt 1429 erwähnt, Bischof von Schleswig 1421–1428/49.",1151046132,,,
"SEELEN, Johann Henrich von",8.8.1687,(nicht 1688) Assel b. Stade,,6;1982,,"SEELEN, Johann Henrich von, geb. 8.8.1687 (nicht 1688) Assel b. Stade, gest. 22.10.1762 Lübeck; ev. – Rektor am Katharineum in Lübeck, Theologe.",11744443X,,,
"SEESTERN-PAULY, Friedrich",1.11.1789,Gut Bossee,,1;1970,,"SEESTERN-PAULY, Friedrich, geb. 1.11.1789 Gut Bossee, Ksp. Westensee, gest.",126025371,,,
"SELLIUS, Burchard Adam",,,,5;1979,,"SELLIUS, Burchard Adam, get. 22.7.1707 Tondern, gest. 7./18.12.1745 Alexander-Newskij- Kloster bei St. Petersburg; zunächst ev., seit 1744 griech.-orthodox. – Historiker.",12416269X,,,
"SEMPER, Carl Gottfried",6.7.1832,Altona,29.5.1893,2;1971,Würzburg,"SEMPER, Carl Gottfried, geb. 6.7.1832 Altona, gest. 29.5.1893 Würzburg; reform. – Universitätsprofessor, Zoologe.",119006715,,,
"SEMPER, Johann Georg",3.8.1837,Altona,21.2.1909,2;1971,Ottensen,"SEMPER, Johann Georg, geb. 3.8.1837 Altona, gest. 21.2.1909 Ottensen; reform. – Fabrikdirektor, Lepidopterologe.",117656577,,,
"SEMPER, Johann Otto",13.9.1830,Altona,9.3.1907,2;1971,Wiesbaden,"SEMPER, Johann Otto, geb. 13.9.1830 Altona, gest. 9.3.1907 Wiesbaden; reform. – Kaufmann, Fabrikant, Konchyliologe u. Paläontologe.",1018822860,,,
"SEVERINI, Paulus",,,1569,5;1979,Eutin,"SEVERINI, Paulus, geb. ca. 1500–1510 Amt Ripen, Jütland, gest. 1569 Eutin; – zunächst Mönch, dann ev. Pfarrer.",1163017930,,,
"SIERK, Hartich",1588,"Wrohm, Ksp. Tellingstedt, Norderdithmarschen",,6;1982,,"SIERK, Hartich, geb. 1588 Wrohm, Ksp. Tellingstedt, Norderdithmarschen, gest. nach 1664 ebd.; ev. – Landwirt, Chronikschreiber.",127989579,,,
"SIVERS, Henrich Jacob",8.4.1709,(nicht 1708) Lübeck,,7;1985,,"SIVERS, Henrich Jacob, geb. 8.4.1709 (nicht 1708) Lübeck, gest. 8.8. (nicht 17.3.) 1758 Tryserum/Schweden; ev. – Theologe, Gelehrter.",128896124,,,
"SKAU, Laurids",22.5.1817,Sommersted,11.5.1864,2;1971,Mariegaard,"SKAU, Laurids, geb. 22.5.1817 Sommersted, gest. 11.5.1864 Mariegaard; ev. – Politiker.",119183390,,,
"SKAU, Peder",5.6.1825,Sommersted,7.3.1917,2;1971,Fjelstrup,"SKAU, Peder, geb. 5.6.1825 Sommersted, gest. 7.3.1917 Fjelstrup; ev.Politiker.",1053290217,,,
"SKODLERRAK, Bruno Horst",18.1.1920,Jugnaten (Kr. Heydekrug,29.10.2001,12;2006,Lübeck,"SKODLERRAK, Bruno Horst, geb. 18.1.1920 Jugnaten (Kr. Heydekrug, Memelland), gest. 29.10.2001 Lübeck; ev. – Maler, Graphiker.",11876571X,,,
"SKONDELEV, Johann",,,17.8.1421,1;1970,,"SKONDELEV, Johann, gest. 17.8.1421. Bischof von Schleswig von 1375 bis 1421.",1151046035,,,
"SLAVONA, Maria (eigentlich Marie Dorette Caroline Schorer)",14.3.1865,Lübeck,10.5.1931,7;1985,Berlin,"SLAVONA, Maria (eigentlich Marie Dorette Caroline Schorer), geb. 14.3.1865 Lübeck, gest. 10.5.1931 Berlin; ev. – Malerin.",118614932,,,
"SLEVOGT, Heinrich Carl",28.7.1787,Eutin,12.2.1832,10;1994,Oldenburg-Osternburg,"SLEVOGT, Heinrich Carl, geb. 28.7.1787 Eutin, gest. 12.2.1832 Oldenburg-Osternburg; ev. – Architekt.",121954102,,,
"SLEWERT (Slewarth), Gerhard (Gerd)",,,30.11.1570,5;1979,Flensburg,"SLEWERT (Slewarth), Gerhard (Gerd), geb. etwa 1490 Kampen, Prov. Overijssel, Niederlande, gest. 30.11.1570 Flensburg. – Pastor u. Propst in Flensburg.",1151009105,,,
"SMISSEN, Gysbert van der",,,22.1.1685,12;2006,Altona,"SMISSEN, Gysbert van der, geb. 6. oder 8.4.1620 Haarlem, gest. 22.1.1685 Altona; mennonitisch. – Bäcker, Kaufmann, Reeder.",1160511535,,,
"SMISSEN, Gysbert van der",26.1.1717,Altona,27.3.1793,12;2006,ebd.,"SMISSEN, Gysbert van der, geb. 26.1.1717 Altona, gest. 27.3.1793 ebd.; mennonitisch. Unternehmer, Reeder.",116051156X,,,
"SMISSEN, Hinrich van der",24.1.1662,Glückstadt,1.7.1737,12;2006,Altona,"SMISSEN, Hinrich van der, geb. 24.1.1662 Glückstadt, gest. 1.7.1737 Altona; mennonitisch. – Bäcker, Unternehmer, Reeder.",1160523274,,,
"SNELL, Johann",,,,10;1994,,"SNELL, Johann, gest. nach 1519. – Buchdrucker.",1037541189,,,
"SOHERR, Johann Adam",12.10.1706,Mannheim,,7;1985,,"SOHERR, Johann Adam, geb. 12.10.1706 Mannheim, gest. 22/23.9.1778 Lübeck; kath. – Ingenieur, Architekt.",1012560414,,,
"SOMMER, Michael Christian",19.8.1785,Lübeck,5.2.1868,2;1971,Altona,"SOMMER, Michael Christian, geb. 19.8.1785 Lübeck, gest. 5.2.1868 Altona; ev. – Großkaufmann, Insektenhändler.",117637742,,,
"SONNIN, Ernst Georg",10.6.1713,Quitzow bei Perleberg,8.7.1794,1;1970,Hamburg,"SONNIN, Ernst Georg, geb. 10.6.1713 Quitzow bei Perleberg, gest. 8.7.1794 Hamburg; ev. – Architekt.",118751492,,,
"SOVENBRODER, Enwaldus",,,17.8.1504,1;1970,ebd.,"SOVENBRODER, Enwaldus, geb. vermutlich vor 1450 Kiel, gest. 17.8.1504 ebd., Dompropst v. Schleswig, königl. Sekretär und Rat.",1151046434,,,
"SPECHT, Minna",22.12.1879,Reinbek,3.2.1961,13;2011,Bremen,"SPECHT, Minna, geb. 22.12.1879 Reinbek, gest. 3.2.1961 Bremen; ev. (seit 1919 konfessionslos). – Lehrerin, Gründerin u. Leiterin v. Landerziehungsheimen.",118751786,,,
"SPIEGEL, Wilhelm",22.6.1876,Gelsenkirchen,,10;1994,,"SPIEGEL, Wilhelm, geb. 22.6.1876 Gelsenkirchen, ermordet 12.3.1933 Kiel; jüd. – Jurist, Politiker.",119182807,,,
"STAMBKE, Andreas Ernst, Baron von",1670,Braunschweig,,3;1974,,"STAMBKE, Andreas Ernst, Baron von, geb. 1670 Braunschweig, gest. 19.9.1739 Neustadt in Holstein; ev. – Staatsbeamter, Gesandter, Diplomat.",1155073134,,,
"STAMBKE, Gottlieb Georg Heinrich, Freiherr von",,,3.5.1761,3;1974,Kiel,"STAMBKE, Gottlieb Georg Heinrich, Freiherr von, get. 20.7.1706 Hannover (Schloßkirche), gest. 3.5.1761 Kiel; ev. – Staatsbeamter, Gesandter, Diplomat.",1055587047,,,
"STARCK (Starke, Starcke, latinisiert Starckius), Caspar Heinrich (Hinrich, Henrich)",15.5.1681,Lübeck,17.2.1750,13;2011,Siebenbäumen b. Lübeck,"STARCK (Starke, Starcke, latinisiert Starckius), Caspar Heinrich (Hinrich, Henrich), geb. 15.5.1681 Lübeck, gest. 17.2.1750 Siebenbäumen b. Lübeck; ev. – Pastor, Kirchenhistoriker.",129905585,,,
"STAUDINGER, Lucas Andreas",27.1.1770,Ansbach,,4;1976,,"STAUDINGER, Lucas Andreas, geb. 27.1.1770 Ansbach, Franken, gest. 30.11.1842 Groß Flottbek, Ksp. Nienstedten; ev. – Landwirt u. Pädagoge.",117223433,,,
"STEFFEN, Bruno",16.9.1891,Gaarden b. Kiel,27.11.1973,12;2006,Kiel,"STEFFEN, Bruno, geb. 16.9.1891 Gaarden b. Kiel, gest. 27.11.1973 Kiel; ev. – Luftfahrtpionier, Pilot, Flugzeugbauer.",132608200,,,
"STEFFENSEN, Karl Christian Friedrich",25.4.1816,Flensburg,12.12.1888,3;1974,Basel,"STEFFENSEN, Karl Christian Friedrich, geb. 25.4.1816 Flensburg, gest. 12.12.1888 Basel; ev. – Professor f. Philosophie an d. Univ. Basel.",117227099,,,
"STEIN, Wasmer Jacob Lorenz von",15.11.1815,Eckernförde,23.9.1890,1;1970,Wien,"STEIN, Wasmer Jacob Lorenz von, geb. 15.11.1815 Eckernförde, gest. 23.9.1890 Wien, begr. Wien; ev. – Universitätsprofessor, Verwaltungswissenschaftler, Soziologe, Nationalökonom.",118617281,,,
"STEINDORFF, Friedrich Magnus",29.5.1811,Gut Behrensbrook,22.6.1869,1;1970,Kiel,"STEINDORFF, Friedrich Magnus, geb. 29.5.1811 Gut Behrensbrook, Ksp. Gettorf, gest. 22.6.1869 Kiel; ev. – Arzt, Politiker.",138518475,,,
"STEINHEIM, Salomon Ludwig (Levi)",6.8.1789,Bruchhausen b. Ottensen. Krs Höxter,18.5.1866,2;1971,Zürich,"STEINHEIM, Salomon Ludwig (Levi), geb. 6.8.1789 Bruchhausen b. Ottensen. Krs Höxter, gest. 18.5.1866 Zürich, begr. Altona; jüd. – Arzt, jüdischer theologischer Schriftsteller.",118753290,,,
"STEINMANN, Jacob",30.8.1599,Rostock,4.8.1658,11;2000,Hamburg,"STEINMANN, Jacob, geb. 30.8.1599 Rostock, gest. 4.8.1658 Hamburg, begr. Neuenkirchen (Kr. Steinburg); ev. – Verwaltungsbeamter.",120161222,,,
